CriterionID,ShortLabel,Section,Level0,Level1,Level2,Level3,Level4,Level5
S1,Stakeholder Participation,Policy Development,No stakeholder or civil society involvement in policy formulation,State-led process with minimal and ad hoc consultation,Consultation exists but inputs from CSOs and land users are frequently ignored,Inclusive process with some representation but lacks structured feedback mechanisms,Broad participation with clear mechanisms for stakeholder input and feedback,"Fully participatory and inclusive process with documented evidence of stakeholder influence, including specific measures for women and marginalized groups"
S2,Gender Equity in Land Rights,Social & Cultural,No recognition of gender disparities or women's land rights,Generic mention of equality without specific mechanisms for women's land access,Policy recognizes gender issues but lacks clear strategies to deconstruct patriarchal barriers,Specific strategies defined for women's land access but lack legal or institutional backing,Legal and institutional frameworks address gender imbalances in land holding and inheritance,"Comprehensive framework for gender equity with enforced legal rights, institutional representation, and alignment with the Maputo Protocol"
S3,Land Administration Systems,Administration,Obsolete or non-existent land administration structures,Centralized and inefficient structures with restricted access to records,Some decentralization attempted but with overlapping and conflicting mandates,Decentralized structures exist but lack adequate human and technical capacity,Efficient and transparent delivery of land services through re-engineered institutions,"Modern, decentralized, and cost-effective land administration system with integrated ICTs and financially self-sustaining operations"
S4,Budgetary Allocation,Implementation,No specific budget allocated for land policy development or implementation,Total reliance on unpredictable donor funding for land reforms,Some national budget allocated but insufficient for comprehensive implementation,Adequate budget for policy development but implementation remains underfunded,Regular budgetary provision for both development and implementation phases,"Full national budgetary support for the entire reform cycle, including capacity building, monitoring, and long-term sustainability"
S5,Conflict Resolution Mechanisms,Political Context,No formal mechanisms for resolving land-related conflicts,Ad hoc resolution of conflicts without a clear policy framework,Policy recognizes land as a source of conflict but lacks specific resolution strategies,Formal mechanisms exist but are centralized and inaccessible to local users,Decentralized and accessible conflict resolution structures including alternative dispute resolution,"Comprehensive system for conflict prevention and resolution, integrating indigenous and statutory mechanisms to ensure peace and security"
S6,Environmental Sustainability,Natural Resources,No consideration of environmental impacts or resource degradation,Policy mentions environment but lacks integration with land use planning,Sectoral environmental policies exist but are not coordinated with land policy,Integrated land and environmental management strategies defined but lack enforcement,Effective management of natural resources and ecosystems through land policy,"Holistic integration of land policy with environmental sustainability, including climate change adaptation and protection of fragile ecosystems"
S7,Monitoring and Evaluation (M&E),Tracking Progress,No system for tracking progress or evaluating policy impact,Ad hoc monitoring without clear indicators or baseline data,M&E framework exists but lacks regular data collection and stakeholder feedback,Structured tracking system with defined indicators but limited to technical outputs,"Comprehensive M&E system tracking outputs, outcomes, and impacts on livelihoods","Robust, participatory M&E system with regular reporting, feedback loops for policy readjustment, and use of geospatial data/observatories"
S8,Indigenous Institutions,Governance,No recognition of indigenous land rights or institutions,Indigenous systems viewed as obstacles to be replaced by statutory law,Policy recognizes indigenous systems but lacks a clear interface with state systems,Legal recognition of indigenous rights but limited role in formal land administration,Structured interface between indigenous and state systems for land management,"Full integration and empowerment of indigenous structures within the national land governance framework, respecting local innovations and rights"
S9,Urban Land Management,Demographics,No policy for managing rapid urbanization or informal settlements,Urban land issues addressed through ad hoc and reactive measures,Policy recognizes urbanization challenges but lacks comprehensive planning strategies,Strategies for urban land delivery and informal settlement upgrading defined but lack scale,Effective urban land management and planning systems in place,"Comprehensive urban land policy addressing informal settlements, secure tenure for urban poor, and orderly development for future growth"
S10,Regional Convergence,International,No consideration of regional or international land commitments,Policy mentions regional issues but lacks alignment with AU/REC frameworks,Some alignment with regional guidelines but lacks mechanisms for cross-border cooperation,Policy addresses shared resources but lacks domestic legislation for enforcement,Active participation in regional land initiatives and alignment with continental standards,"Full domestication of regional and international commitments, with robust mechanisms for managing shared land resources and regional convergence"
